drug,logrank_p,cox_hr,cox_p,n_sens,n_res,fdr_q
CDK9_5576,0.001545141455985808,2.1530546330206706,0.043705281027580915,41,41,0.02035140522625529
XAV939,0.0016105428596317134,4.797660393613911,0.03864682796382404,41,41,0.02035140522625529
ascorbate (vitamin C),0.001846394021052457,0.3751799067812927,0.0026369779759969516,41,41,0.021554014661595434
AZD7762,0.0018640541668879995,0.5143893941842259,0.003811961621356475,41,41,0.021554014661595434
N27922-53-1,0.0019383106710067837,6.383349784630355,0.018896643283351777,41,41,0.021554014661595434
Dihydrorotenone,0.0021678343716109516,3.953303227301338,0.00018496484227092252,41,41,0.022375441913584506
Bicalutamide,0.0021776173581297812,16.406656061829633,0.026503791144635143,41,41,0.022375441913584506
Dasatinib,0.002253641631584051,0.5556005468844127,0.0013600713253833572,41,41,0.022375441913584506
Romidepsin,0.002594001008179532,0.21452229265753844,0.00010482875512112923,41,41,0.024866630354272754
Tanespimycin,0.0027695927408187583,0.44081033497036776,0.00402222828098341,41,41,0.02566489273158716
I-BRD9,0.0033626432669724236,2.7650776039726,0.09799026666462099,41,41,0.02932566604307879
Podophyllotoxin bromide,0.0034754344068354376,0.4753481766938599,0.0066295832132733015,41,41,0.02932566604307879
720427,0.0035234525648106924,4.60217137304556,0.10627840676486218,41,41,0.02932566604307879
AMG-319,0.0035865922498729457,2.9538695857574027,0.039432933558446695,41,41,0.02932566604307879
Tamoxifen,0.0037612562279673396,0.14396774069753412,0.00405904915355342,41,41,0.0298751208964263
Bromosporine,0.004460733806326477,2.0419872748346943,0.21924810025123997,41,41,0.03444677772663224
Leflunomide,0.0061478048222540225,4.07941236519732,0.11050308677953158,41,41,0.04543541899623226
Bortezomib,0.006210596841211604,0.4186861745791977,0.004727359143916139,41,41,0.04543541899623226
N25720-51-A1,0.006394667716170705,2.2418687019318964,0.01125926358683018,41,41,0.0455825032075758
NVP-ADW742,0.008173334519826657,0.5126587310348151,0.018339239118313935,41,41,0.05680467491279526
ABT737,0.00861636471338733,1.3786090361996914,0.3066555375268972,41,41,0.05842315586150433
Uprosertib,0.010333452574461261,0.4075927349334842,0.0002520579259675724,41,41,0.0683976146595293
LMB_AB1,0.010980729837711903,2.6863000615364885,0.12195433364247256,41,41,0.07099169522985835
667880,0.012013053485419997,2.2758273766630244,0.29340268165126643,41,41,0.07536659075862914
EHT-1864,0.012199628000497523,11.338976112174922,0.0002336589499607217,41,41,0.07536659075862914
MG-132,0.01259030776564307,0.15647749739287012,0.0005273053075459523,41,41,0.07608925127932116
I-BET-762,0.014380955195903409,2.7940750750083567,0.04008661212168679,41,41,0.08181363036404736
Ipatasertib,0.014491408913828666,0.44198289679984204,0.002409806961752024,41,41,0.08181363036404736
Niraparib,0.014520793561718412,1.980017510988331,0.08727390289516462,41,41,0.08181363036404736
Paclitaxel,0.014962472352614227,0.6192485553590107,0.01441224134600373,41,41,0.08181363036404736
Taselisib,0.015084163061216125,0.6496177945246359,0.044164752941579094,41,41,0.08181363036404736
Vinblastine,0.015303268988958499,0.5229245969464028,0.0015610385992480334,41,41,0.08181363036404736
AZD4547,0.01641921112769939,0.5091251456513276,0.0671453043002224,41,41,0.08548427065793746
BI-2536,0.01660485832923965,0.6092706490213046,0.004837914134205986,41,41,0.08548427065793746
Picolinici-acid,0.017475819823237492,1.5847176616904832,0.5755966494406937,41,41,0.08662390003324573
OTX015,0.017722541239864234,1.8583493087638374,0.18111863556618052,41,41,0.08662390003324573
AZD1332,0.01776101547444247,0.4252673392909312,0.05964374129533853,41,41,0.08662390003324573
BDOCA000347a,0.01925640486490349,3.3825824006311382,0.1818606785797322,41,41,0.09229794055936501
Tretinoin,0.020018809611781634,2.9911788803137527,0.06129719615585351,41,41,0.09432591647585244
Methotrexate,0.02178650266495311,0.4434853909501797,0.0029022391061079276,41,41,0.10086327557037521
Wnt-C59,0.022131869819398877,3.4804993195664635,0.0909198663603092,41,41,0.10086327557037521
Dactolisib,0.023140024079979477,0.3288172903788452,0.00034561706889468477,41,41,0.10211070468115913
Vinorelbine,0.023679935772819342,0.6156436507765468,0.01274023945659234,41,41,0.10211070468115913
LJI308,0.023739818477634667,3.3469593830047724,0.1322220415079917,41,41,0.10211070468115913
TW 37,0.024843063053965685,0.3625503923189237,0.005687334569578673,41,41,0.10211070468115913
IGF1R_3801,0.02485567581653956,0.6447018538010698,0.08764332072737184,41,41,0.10211070468115913
IWP-2,0.024893837860425434,2.9991958391109184,0.20691810433880922,41,41,0.10211070468115913
VSP34_8731,0.02497671913064324,3.1726428642193665,0.02949076021008133,41,41,0.10211070468115913
AZD5363,0.02579459364116378,0.4685953830425887,0.005786131166567517,41,41,0.1039260439455584
LGK974,0.026648789868267006,2.7562592158623946,0.022623283411509387,41,41,0.10583376547683183
PAK_5339,0.02882176556606114,1.3878035145729382,0.6843235560859293,41,41,0.11285142010373235
AGK2,0.029932179119284728,2.6852757627745576,0.2388595527568359,41,41,0.11557146937723825
Elesclomol,0.03205928485830241,0.369979391364417,0.038581448041772,41,41,0.12208878343298726
Wee1 Inhibitor,0.0336726277582579,0.5832526069388245,0.01781504554564649,41,41,0.12510923869957022
Ruxolitinib,0.03407293964008265,2.060283906404247,0.13430132556185834,41,41,0.12510923869957022
SGC0946,0.034547927804296046,0.18420718818951476,0.02111117021419135,41,41,0.12510923869957022
Epirubicin,0.034702905139610704,0.45135916613650795,0.007772626695207691,41,41,0.12510923869957022
GW441756,0.03551181492483778,0.31605013943441673,0.057306042348490994,41,41,0.12510923869957022
GSK2256098C,0.03575383396948456,0.6975177786393869,0.3749731747716666,41,41,0.12510923869957022
Alisertib,0.03602478447138229,0.6851094031065239,0.09055220620888917,41,41,0.12510923869957022
SGC-CBP30,0.036452691851313626,5.416893336336291,0.10923384087577702,41,41,0.12510923869957022
765771,0.03854461319646324,0.41756145575139203,0.08578156880340566,41,41,0.12765561818106635
Bleomycin (50 uM),0.038703718255770445,0.7825081264020101,0.2865155731455146,41,41,0.12765561818106635
ZM447439,0.039022890714621665,0.6680198707232531,0.09950981739655433,41,41,0.12765561818106635
ML323,0.03903139404816777,2.1075545109067524,0.09013903881214458,41,41,0.12765561818106635
Telomerase Inhibitor IX,0.04413682228695344,0.4100384646146276,0.0012768280393057256,41,41,0.142674844136896
123138,0.045419655979740584,0.2778126274043441,0.12880628578104703,41,41,0.1444881092198064
GSK2830371A,0.04589598214466711,1.6329709076401426,0.3739102725428042,41,41,0.1444881092198064
JQ1,0.046256984606340895,1.9115210413842634,0.036237303609475705,41,41,0.1444881092198064
Sorafenib,0.050200981478438926,2.462179007654352,0.05462166068248283,41,41,0.15506525390006692
SB216763,0.051961647068519926,0.34841158157204505,0.044051746238949904,41,41,0.15873997675877516
AZ960,0.05301637059530184,0.7594414876215176,0.4132686287043108,41,41,0.16020164158145556
Entospletinib,0.055969502342769546,0.4158958592041433,0.0288686074416427,41,41,0.16730668442247243
IAP_5620,0.058348525935225846,1.483929692425763,0.23637575163612212,41,41,0.17256266180843388
GSK269962A,0.060031291026744135,0.4304918022988425,0.05970952077930822,41,41,0.17567051479405127
Crizotinib,0.062266023781343105,0.5277811362606367,0.055834920547422645,41,41,0.1803120272001394
Vorinostat,0.06421364234669161,0.43688384028085536,0.015459028203663064,41,41,0.18403497497299245
GSK2830371,0.06511678217725395,1.1660407471502743,0.7702310630630378,41,41,0.18430917542784844
Nilotinib,0.06563528189696761,0.5486531005328831,0.09079995773609921,41,41,0.18430917542784844
Serdemetan,0.06642066975455063,1.767161149118365,0.25126732127166373,41,41,0.18464946191765078
Selumetinib,0.06718589481714343,1.5904841016314295,0.18584034599250368,41,41,0.18492751246698885
BX795,0.06947398638904453,0.625551933466664,0.1469653750469354,41,41,0.18935066878582726
Bleomycin,0.07318025081944343,0.6067995550110107,0.19148492647920956,41,41,0.19751562842529394
Bosutinib,0.07486760340988687,0.7108196971864502,0.4144875799176492,41,41,0.20012686296104373
GSK3337463A,0.07928270652068634,0.4680326657612412,0.12701262231661456,41,41,0.2084937219902274
Zoledronate,0.07949760622648959,0.5497185733468258,0.1770095530343819,41,41,0.2084937219902274
Daporinad,0.08377708113455536,0.7544280955475753,0.09451450750763371,41,41,0.21766381827482606
AGI-5198,0.08468519226223581,2.6589806098469184,0.27544663834938216,41,41,0.21798595786019956
BDP-00009066,0.0921214412489149,0.31454411875345756,0.1074871886645208,41,41,0.23387933416412313
SB590885,0.09254218258292642,0.6612325189006255,0.3548544804111853,41,41,0.23387933416412313
