cancer,drug,logrank_p,cox_hr,n_sens,n_res,fdr_q
TCGA-CHOL,JQ1,0.519828188513767,1.4538025750822272,17,16,0.9744437288454759
TCGA-CHOL,KRAS (G12C) Inhibitor-12,0.492184179964802,0.7592898998899099,17,16,0.9744437288454759
TCGA-CHOL,KU-55933,0.7833472733868336,1.9980601737072183,17,16,0.9744437288454759
TCGA-CHOL,L-Oxonoreleagnine,0.5021695009610312,0.519318522269032,17,16,0.9744437288454759
TCGA-CHOL,LCL161,0.2829353240816672,1.406865894333288,17,16,0.9744437288454759
TCGA-CHOL,LGK974,0.5923713982794869,0.9612013081960976,17,16,0.9744437288454759
TCGA-CHOL,LJI308,0.6059295446244417,1.8004818011439052,17,16,0.9744437288454759
TCGA-CHOL,LMB_AB1,0.7214157319679133,0.9623330380690363,17,16,0.9744437288454759
TCGA-CHOL,LMB_AB2,0.3968938244027851,1.156368957148984,17,16,0.9744437288454759
TCGA-CHOL,LMB_AB3,0.6192700182598503,1.286164497277691,17,16,0.9744437288454759
TCGA-CHOL,LMP744,0.8170766160289308,0.9670136827082695,17,16,0.9744437288454759
TCGA-CHOL,LY2109761,0.737016422943503,1.592091738702652,17,16,0.9744437288454759
TCGA-CHOL,Lapatinib,0.6886027078933971,1.0927144974939653,17,16,0.9744437288454759
TCGA-CHOL,Leflunomide,0.8501411906096675,1.6315566217989803,17,16,0.9744437288454759
TCGA-CHOL,Lenalidomide,0.558798836693683,1.1531567457336835,17,16,0.9744437288454759
TCGA-CHOL,Lestaurtinib,0.8501411906096675,1.141750314802098,17,16,0.9744437288454759
TCGA-CHOL,Linsitinib,0.4649340054194565,1.0210203589189533,17,16,0.9744437288454759
TCGA-CHOL,Luminespib,0.48349581445611056,0.8859844326307206,17,16,0.9744437288454759
TCGA-CHOL,MG-132,0.22072731166253984,1.7551989140964297,17,16,0.9744437288454759
TCGA-CHOL,MIM1,0.9563178489247844,1.3313195483704092,17,16,0.9810197859818821
TCGA-CHOL,MIRA-1,0.940578881195946,1.1295468902739072,17,16,0.9744437288454759
TCGA-CHOL,MK-1775,0.24760003183384865,1.2404741786710882,17,16,0.9744437288454759
TCGA-CHOL,MK-2206,0.7313987370201341,2.2538868200153424,17,16,0.9744437288454759
TCGA-CHOL,MK-8776,0.6447641135303945,1.6860382880858564,17,16,0.9744437288454759
TCGA-CHOL,ML323,0.27112392029364785,0.9467742375725393,17,16,0.9744437288454759
TCGA-CHOL,MN-64,0.8729459889628917,0.680762911008345,17,16,0.9744437288454759
TCGA-CHOL,Methotrexate,0.5884940738335205,0.8514393099353723,17,16,0.9744437288454759
TCGA-CHOL,Mirin,0.8773658914536813,1.111486950494187,17,16,0.9744437288454759
TCGA-CHOL,Mitoxantrone,0.8365846954671343,1.030162598980792,17,16,0.9744437288454759
TCGA-CHOL,Motesanib,0.5395597857173933,1.2561569047154693,17,16,0.9744437288454759
TCGA-CHOL,Mycophenolic acid,0.5243272403091818,0.9084352778604472,17,16,0.9744437288454759
TCGA-CHOL,N25720-51-A1,0.741091081635401,1.7835131425986575,17,16,0.9744437288454759
TCGA-CHOL,N27922-53-1,0.917875395680622,1.7147309038857401,17,16,0.9744437288454759
TCGA-CHOL,N29087-69-1,0.29128872903107184,1.170333564695243,17,16,0.9744437288454759
TCGA-CHOL,N30652-18-1,0.9863403166851205,1.4849098518833679,17,16,0.9940918426059929
TCGA-CHOL,NU7441,0.3930262180428986,1.9484032986697513,17,16,0.9744437288454759
TCGA-CHOL,NVP-ADW742,0.43460361502523215,1.150200431223452,17,16,0.9744437288454759
TCGA-CHOL,Navitoclax,0.549600456715919,1.5031976441609294,17,16,0.9744437288454759
TCGA-CHOL,Nelarabine,0.9869401027311298,0.9716597943558483,17,16,0.9940918426059929
