drug,n_samples,cv_r2_mean,cv_r2_std,best_alpha,predictable
CT7033-2,563,0.37536094730823505,0.12912460801706666,2636.6508987303555,True
CPI-637,563,0.3668166864486161,0.1414676306760715,5455.594781168515,True
GSK2110183B,542,0.36669793297908576,0.03800803114420991,2636.6508987303555,True
GSK3337463A,542,0.36581701869482386,0.07149230810679327,5455.594781168515,True
SB590885,681,0.3650786490993185,0.10928664431627322,11288.378916846883,True
AZ960,650,0.36490604041837527,0.07022449016378489,5455.594781168515,True
Wee1 Inhibitor,691,0.363773500483809,0.08817358785335591,2636.6508987303555,True
Ribociclib,691,0.363463424077978,0.14691332587946115,11288.378916846883,True
630600,542,0.36281842458125324,0.13239036628659548,5455.594781168515,True
AZD7762,695,0.36152232889917063,0.1433292707976816,2636.6508987303555,True
Mirin,650,0.36133126984945063,0.08426517865694655,2636.6508987303555,True
Fulvestrant,697,0.3602041574470813,0.08188468725850799,11288.378916846883,True
Refametinib,682,0.3597545640599402,0.03503367052546504,5455.594781168515,True
5-azacytidine,562,0.35921571649410794,0.08339503338879019,5455.594781168515,True
Eg5_9814,541,0.35817248357521886,0.08204959072616265,2636.6508987303555,True
Talazoparib,690,0.35777293404014465,0.09058699197522917,2636.6508987303555,True
Linsitinib,698,0.356885521768299,0.044478953385825325,1274.2749857031322,True
PFI3,647,0.3568639341878037,0.11810644363408124,11288.378916846883,True
AZD5438,545,0.3563614477775316,0.0710500710344206,2636.6508987303555,True
765771,542,0.3547144447627912,0.04563672560319885,5455.594781168515,True
Mitoxantrone,542,0.3512408469155323,0.1276536651128503,5455.594781168515,True
Rucaparib,683,0.3512223020761338,0.08924435205721074,11288.378916846883,True
GSK-LSD1-2HCl ,562,0.34912853678085753,0.11256367077930848,5455.594781168515,True
LMP744,542,0.34882276952460484,0.07445223500952303,5455.594781168515,True
LGK974,697,0.34815778862775815,0.1260792930553029,5455.594781168515,True
Paclitaxel,692,0.34771009915882667,0.1053834432990607,2636.6508987303555,True
Elephantin,542,0.3474945484549109,0.06946797512843131,5455.594781168515,True
THR-101,556,0.345979377085038,0.05804150951115653,5455.594781168515,True
BEN,542,0.34575474086873587,0.06918667421677366,2636.6508987303555,True
AGI-6780,646,0.34510790252796514,0.09019389250389659,11288.378916846883,True
Ruxolitinib,654,0.34458683389805184,0.09501010218557553,5455.594781168515,True
Sabutoclax,646,0.3440816499117646,0.09782195950998268,5455.594781168515,True
JAK1_8709,545,0.3439622699918034,0.10583971229034435,5455.594781168515,True
Leflunomide,650,0.3434773040445783,0.1037160503783739,11288.378916846883,True
BMS-345541,649,0.34330677974609936,0.12060459264436647,5455.594781168515,True
KU-55933,692,0.3428074700514192,0.10936309222020071,11288.378916846883,True
Picolinici-acid,646,0.34262403581405454,0.1144397607710928,11288.378916846883,True
AMG-319,686,0.3408061313532249,0.10575008819857332,11288.378916846883,True
Pevonedistat,691,0.3400922887457226,0.08028183993767479,2636.6508987303555,True
AZD5363,692,0.33978192951364894,0.01599401413264975,2636.6508987303555,True
ML323,644,0.3397451142512405,0.06848160282709746,5455.594781168515,True
ZM447439,682,0.3397208687429261,0.046080213509052594,5455.594781168515,True
IWP-2,649,0.3387209516043481,0.10435433541685107,11288.378916846883,True
Podophyllotoxin bromide,542,0.33717250093257845,0.051878745106642074,5455.594781168515,True
MK-8776,687,0.3371056385275303,0.14363967901105779,11288.378916846883,True
Nilotinib,690,0.33706258275147605,0.03497466696056595,11288.378916846883,True
GSK2276186C,542,0.33684646091011305,0.1329421887141184,11288.378916846883,True
KRAS (G12C) Inhibitor-12,647,0.3352479330617793,0.06283682356314439,5455.594781168515,True
HKMTI-1-005,564,0.3343253399789071,0.06850533266805257,5455.594781168515,True
Bromosporine,542,0.3312878381433618,0.09092136848921721,11288.378916846883,True
JQ1,684,0.33071513920920426,0.11365986132123389,5455.594781168515,True
Sapitinib,697,0.3305808202742333,0.03371477046627909,2636.6508987303555,True
