master_ccl_id,mean_bet_auc,meso,ccl_name,ccle_primary_site
409,0.8645533333333333,False,HS683,central_nervous_system
410,1.0283433333333334,False,HS688AT,skin
414,0.9390833333333334,False,HS729,soft_tissue
418,0.8615566666666666,False,HS746T,stomach
421,0.7820466666666667,False,HS766T,pancreas
424,0.94284,False,HS822T,bone
426,0.9076066666666667,False,HS839T,skin
428,0.7894766666666667,False,HS852T,skin
431,0.8631633333333334,False,HS888LU,
432,0.9619633333333333,False,HS888T,bone
434,0.8752766666666667,False,HS895T,skin
436,0.985385,False,HS934T,skin
437,0.8397899999999999,False,HS936T,skin
439,0.8107333333333333,False,HS940T,skin
440,0.80669,False,HS944T,skin
441,0.8845633333333334,False,HSC2,upper_aerodigestive_tract
442,0.8131033333333333,False,HSC3,upper_aerodigestive_tract
443,0.9226200000000001,False,HSC4,upper_aerodigestive_tract
444,0.8350949999999999,False,HSTS,
445,0.7177700000000001,False,HT,haematopoietic_and_lymphoid_tissue
446,0.8558533333333332,False,HT1080,soft_tissue
447,0.75197,False,HT115,large_intestine
448,0.8736799999999999,False,HT1197,urinary_tract
449,0.8625133333333334,False,HT1376,urinary_tract
450,0.88157,False,HT144,skin
451,0.9863433333333335,False,HT29,large_intestine
452,0.8729100000000001,False,HT55,large_intestine
455,0.9049033333333334,False,HUCCT1,biliary_tract
456,0.8407633333333333,False,HUG1N,stomach
457,0.8637666666666667,False,HUH1,liver
458,0.7503166666666666,False,HUH28,biliary_tract
459,0.82726,False,HUH6,liver
461,0.7838200000000001,False,HUNS1,haematopoietic_and_lymphoid_tissue
462,0.7775233333333333,False,HUPT3,pancreas
463,0.72236,False,HUPT4,pancreas
465,0.6352366666666667,False,HUT78,haematopoietic_and_lymphoid_tissue
469,0.82413,False,IALM,lung
470,0.7491266666666667,False,IGR1,skin
471,0.8477100000000001,False,IGR37,skin
472,0.9157533333333333,False,IGR39,skin
473,0.837975,False,IGROV1,ovary
474,0.7969033333333333,False,IM95,stomach
475,0.73566,False,IMR32,autonomic_ganglia
478,0.8331066666666667,False,IPC298,skin
479,0.9493033333333334,False,ISHIKAWAHERAKLIO02ER,endometrium
480,0.7643966666666667,True,ISTMES1,pleura
482,0.9198599999999999,False,J82,urinary_tract
484,0.8169333333333334,False,JEKO1,haematopoietic_and_lymphoid_tissue
486,0.9181966666666667,False,JHH1,liver
487,0.8587233333333333,False,JHH2,liver
488,0.8106666666666666,False,JHH4,liver
489,0.8051366666666667,False,JHH5,liver
490,1.0336533333333333,False,JHH6,liver
492,0.8170066666666665,False,JHOC5,ovary
493,0.9176500000000001,False,JHOM1,ovary
495,0.8701099999999999,False,JHOS2,ovary
497,0.82644,False,JHUEM1,endometrium
498,0.77969,False,JHUEM2,endometrium
499,0.7623566666666667,False,JHUEM3,endometrium
500,0.7147,False,JHUEM7,endometrium
501,0.9399733333333334,False,JIMT1,breast
502,0.6401433333333334,False,JJN3,haematopoietic_and_lymphoid_tissue
503,0.7628566666666666,False,JK1,haematopoietic_and_lymphoid_tissue
504,0.9508800000000001,True,JL1,pleura
505,0.67453,False,JM1,haematopoietic_and_lymphoid_tissue
506,0.8414566666666667,False,JMSU1,urinary_tract
508,0.7058833333333333,False,JURKAT,haematopoietic_and_lymphoid_tissue
509,0.71176,False,JURLMK1,haematopoietic_and_lymphoid_tissue
510,0.8225433333333333,False,JVM2,haematopoietic_and_lymphoid_tissue
511,0.7029566666666667,False,JVM3,haematopoietic_and_lymphoid_tissue
512,0.8326733333333333,False,K029AX,skin
513,0.7680533333333334,False,K562,haematopoietic_and_lymphoid_tissue
514,0.8349833333333333,False,KALS1,central_nervous_system
515,0.7264,False,KARPAS299,haematopoietic_and_lymphoid_tissue
516,0.6634566666666667,False,KARPAS422,haematopoietic_and_lymphoid_tissue
517,1.0025533333333334,False,KARPAS620,haematopoietic_and_lymphoid_tissue
518,0.5743266666666667,False,KASUMI1,haematopoietic_and_lymphoid_tissue
519,0.6968,False,KASUMI2,haematopoietic_and_lymphoid_tissue
522,0.8401200000000001,False,KATOIII,stomach
524,0.7345866666666666,False,KCL22,haematopoietic_and_lymphoid_tissue
525,0.6566533333333333,False,KE37,haematopoietic_and_lymphoid_tissue
526,0.796935,False,KE39,stomach
527,0.7124933333333333,False,KE97,haematopoietic_and_lymphoid_tissue
528,0.79313,False,KELLY,autonomic_ganglia
530,0.7762533333333334,False,KG1C,central_nervous_system
531,0.6748799999999999,False,KHM1B,haematopoietic_and_lymphoid_tissue
